date,population
2022-01-01,341533996
2022-02-01,341695936
2022-03-01,341857877
2022-04-01,342019818
2022-05-01,342181759
2022-06-01,342343700
2022-07-01,342505641
2022-08-01,342667581
2022-09-01,342829522
2022-10-01,342991463
2022-11-01,343153404
2022-12-01,343315345
2023-01-01,343477286
2023-02-01,343770845
2023-03-01,344064405
2023-04-01,344357964
2023-05-01,344651524
2023-06-01,344945083
2023-07-01,345238643
2023-08-01,345532202
2023-09-01,345825762
2023-10-01,346119321
2023-11-01,346412881
2023-12-01,346706440
